Id,Predicted
0,.dREvhWAstmhnTThgRIdinpRinshphlthselitsAndlhndWotrtRAnspRhtEShnstIvhduRiGhndpytpAbRhkEShnbiznhsisfrhnhndiskWOt.
1,.DhkhmbyndbiznhsrzDhkwnthdfrtUHhndrdTrtIfyvmil?hndalrzhvdREvOzEtHhnrdnytITRImil?hndalrzinnyntInEtIfyvvRevhn?U!.
2,.insep.tembr_DhkhmphnIRisIvdnyntIsikspYntEt.mil?hndalrzAzAtSeRhvdAmijizffrmhbRIchvkantRAkthWoRd!RilEtidtUhkOldpaRtrSipp.
3,.AzmizkendhlinmistrlOsIht.swTAfrkhzsencRhlghvrnmhnt.izWykhbigglhmbriGtAGk!.
4,.Wyt.buRhkRAtsrinDhdRyvrzsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUthdem.
5,.menIWhntthstoRmDhtAGkkAndtEkitO.
6,.bhtifDhHistrIhvhDrAfrkhnnEShnzUzenIgyd_Wyts.indenzhndsmolblAktRybSudfiRdykt.
7,..gREnshndsYbInz.mOstkoRnhndHWItf?UcrzpRyshzWrstRoGgr_.
8,.WIkf?UcrzWrshpoRthdbykhnsrnDAtWIt!mEbIvalnrhbhl.ifkOldsnApsfalODispAstWIkenzWoRmT.Anhlhsed.
9,.DhWoRmiGtRendmEHAdmeltidDisnOkhvrOnshmkRaps.
10,.koRnf?UcrzrsIvdshmstReGkTanikspektEShnAvDIAgRhkhlcrdipaRtmhntWudREdsOvIhtimpoRtfoRkAsts_Andhlhs.
11,.AftrDhklOzhvtREdiG.DhfoRkAstsWrinkRIst.
12,.sYbIiGf?UcrzpRyshzWrmikst.WrDbInzAnhYlfiniShnHyr_.
13,.stRoGgrpamYlpRyshtzHelptWYlpRyshzfrm.Anhlhssed..
14,.mistrkalinzlrnDhthnOhnzkoRniGdiviZhnWhzRidUsiGAtstAf_hndWudnIdwtsydHelpthpRhdUshn?Uzletr_.
15,.HImEdhsElzkOlHIsez.
16,.itWhzhntigivhWE~.
17,.yset.dwminfig?rdwtHhtDEmItid.hndseldhmanit.
18,.DhsenshvinpendiGdUnHAzstymEntImoRkbhtSn.
